ReviewTitle,ReviewBody,ReviewStar,Product,Price,Brand,Model
"Good
","Excellent product
",5,JBL T110BT,2199.0,JBL,T110BT
"Sound not like jbl Quality of sound is low
","Sound not like jblQuality of sound is low
",1,JBL T110BT,2199.0,JBL,T110BT
"Don't buy
","Don't buy this product. Auto discharge battery. BT Connection not good. Battery life upto 45min max.
",1,JBL T110BT,2199.0,JBL,T110BT
"Get it good change it
","My product is bad no bass it is dublicate and expensive also
",2,JBL T110BT,2199.0,JBL,T110BT
"No  life
","Only good for 3/4 months
",2,JBL T110BT,2199.0,JBL,T110BT
"Pick these up blindly if you get them below 2k
","Not sure why there are so many negative reviews, these earphones are great. Have been using them daily for about 3 hours a day for the last 4 months and they are close to perfect.I use Audio Technica m50x for listening to music for the most part. Bought these JBL Bluetooth ones for use where the m50x is too bully to carry.Pros:Charge lasts about 5 hours.Lightweight.Produces very clear sound.Bluetooth range is quite high, at least 15 metres in my experience.Cons:Slightly more expensive than I'd have liked, I paid 2250...Microphone is placed near your shoulder so taking calls can be a little irritating. People keep telling me I sound like I'm far away.
",5,JBL T110BT,2199.0,JBL,T110BT
"Great
","Good quality
",5,JBL T110BT,2199.0,JBL,T110BT
"Stopped working !
","Stopped working after 6 months of use ..
",1,JBL T110BT,2199.0,JBL,T110BT
"Not working
","Itâ??s not working properly whom Should I complaint.
",1,JBL T110BT,2199.0,JBL,T110BT
"Great
","Great
",5,JBL T110BT,2199.0,JBL,T110BT
"So good
","Such nice
",5,JBL T110BT,2199.0,JBL,T110BT
"Niceâ??ï¸â??ï¸â??ï¸â??ï¸â??ï¸
","All the features are great
",5,JBL T110BT,2199.0,JBL,T110BT
"Good one
","Good to wear
",5,JBL T110BT,2199.0,JBL,T110BT
"Bass is good enough.. Sounds are clear.. but wht ever it is u won't get tht 3.5mm jack feeling
","Bass good enough.. microphone little problem ur listener will tell not hearing loudly
",4,JBL T110BT,2199.0,JBL,T110BT
"Good one
","Best quality in affordable price
",5,JBL T110BT,2199.0,JBL,T110BT
"You can buy it
","S B Patil.very good product
",5,JBL T110BT,2199.0,JBL,T110BT
"low quality
","not good
",1,JBL T110BT,2199.0,JBL,T110BT
"Decent Product
","Decent product had to return because it did not connect two device at the same time.
",3,JBL T110BT,2199.0,JBL,T110BT
"Very good
","Excellent
",5,JBL T110BT,2199.0,JBL,T110BT
"good
","good Bluetooth but little battery backup issue
",4,JBL T110BT,2199.0,JBL,T110BT
"Four Stars
","good products
",4,JBL T110BT,2199.0,JBL,T110BT
"Good One
","Awesome
",4,JBL T110BT,2199.0,JBL,T110BT
"waste of money
","doesnt feel like jbl product.hardly bass is heardproduct name is pure bass . but u cannt hear bass.any way this product can be returned
",1,JBL T110BT,2199.0,JBL,T110BT
"Excellent hands free by JBL
","Excellent sound quality and battery backup in affordable prise.
",5,JBL T110BT,2199.0,JBL,T110BT
"Nice product
","Good product . battery life is good
",5,JBL T110BT,2199.0,JBL,T110BT
"Good
","God
",5,JBL T110BT,2199.0,JBL,T110BT
"Really nice one
","Very good battery life
",5,JBL T110BT,2199.0,JBL,T110BT
"wonderful
","no complaints yet.... wonderful
",5,JBL T110BT,2199.0,JBL,T110BT
"Not working properly
","I have an issue with right ear plug, it's not even 6 months completed from the date of purchase
",2,JBL T110BT,2199.0,JBL,T110BT
"Bass
","Bass is not so good. Sometimes Bluetooth link fails.
",3,JBL T110BT,2199.0,JBL,T110BT
"Not as expected
","It hurts in the ð???
",3,JBL T110BT,2199.0,JBL,T110BT
"It is veymry good product we can buy like it
","I like sound nd bass ð???
",5,JBL T110BT,2199.0,JBL,T110BT
"Not Ok
","Not ok
",1,JBL T110BT,2199.0,JBL,T110BT
"Two Stars
","Battery life is not good. Sound quality is good.the right ear speaker stopped working.  Dont buy this product at all.
",1,JBL T110BT,2199.0,JBL,T110BT
"Good
","Good one
",4,JBL T110BT,2199.0,JBL,T110BT
"JBL EARPHONE
","I DID NOT LIKE THE SOUND QUALITY
",4,JBL T110BT,2199.0,JBL,T110BT
"Bad sound quality
","Sound is not clear
",1,JBL T110BT,2199.0,JBL,T110BT
"Quality is very good
","JBL
",5,JBL T110BT,2199.0,JBL,T110BT
"U can easily get it for below 1k
","Replica products. U can easily get it for below 1k
",1,JBL T110BT,2199.0,JBL,T110BT
"Five Stars
","Best quality
",5,JBL T110BT,2199.0,JBL,T110BT
"Not Durable
","Within three months one of the ear piece stopped working.Not durable
",2,JBL T110BT,2199.0,JBL,T110BT
"Pathetic product from jbl.
","One of the speaker stop working suddenly within 15 days...voice quality is poor.It seems people are selling refurbished item on amazone platform...This was my last purchase on amazone...
",1,JBL T110BT,2199.0,JBL,T110BT
"worst quality product ever seen
","worst quality product ever seen. pathetic bass , slips out of ear anytime,looks are ok but there are better products in this price range.. did not expect this from JBL.
",2,JBL T110BT,2199.0,JBL,T110BT
"Worth of money
","Battery life
",4,JBL T110BT,2199.0,JBL,T110BT
"Good product at less price.
","Output nice and loud. Connectivity feedback sound is great. Bass not impactful or as great as Sony or Skullcandy. But considering price, it is good. Ear buds tip has dual color which is attractive. Branding missing on back side of ear buds. Easy to pair with all devices, I tried with TV and mobile. It keeps background noise outside only. Product quality and build is good.
",4,JBL T110BT,2199.0,JBL,T110BT
"Not good
","Poor quality of sound & damage received. Not value for money
",1,JBL T110BT,2199.0,JBL,T110BT
"Poor
","Poor
",1,JBL T110BT,2199.0,JBL,T110BT
"Loved the quality of product, must buy If u want
","Sound quality is too good u can easily adjust on what vol. U wanna hear the music. Battery life is good,u dont have to charge for 2 days
",5,JBL T110BT,2199.0,JBL,T110BT
"Sound quality is POOR. No bass
","Sound quality is POOR. No bass, not much treble. If you have used better headphones in the past, it will sound like you are listening music in speech mode. Its flat.  [No beats:( ]. Sony MDR-EX150AP which is like the cheapest Sony headphone with mic is light years ahead w.r.t to sound quality.Buy this only if you are desperate for a Bluetooth headphone.
",3,JBL T110BT,2199.0,JBL,T110BT
"Two Stars
","Good for listening music only. Call voice quality is very bad. Not worth.
",2,JBL T110BT,2199.0,JBL,T110BT
"Don't buy it.
","It has stopped working in just four months.
",1,JBL T110BT,2199.0,JBL,T110BT
"more distance bluetooth
","good
",5,JBL T110BT,2199.0,JBL,T110BT
"It's FANTASTIC
","I never heard sound like thie. Just amazing i have no words for this earphone you should definitely try this once
",5,JBL T110BT,2199.0,JBL,T110BT
"Good headphones for the given price range !!
","Overall I am satisfied with the performance and quality of the product.  !!!
",4,JBL T110BT,2199.0,JBL,T110BT
"Nice
","Battery backup little less wire is large.. sound is good quality is good value for money.
",4,JBL T110BT,2199.0,JBL,T110BT
"Don't buy this product
","Very bad sound and cheap quality don't buy
",1,JBL T110BT,2199.0,JBL,T110BT
"Not upto the jbl mark
","Nice but sound is not as sweet as it should be
",3,JBL T110BT,2199.0,JBL,T110BT
"No
","Not.worekig song
",5,JBL T110BT,2199.0,JBL,T110BT
"Bluetooth connectivity issue
","Bluetooth connectivity issue. As frequent disconnect while on call.
",2,JBL T110BT,2199.0,JBL,T110BT
"No use anymore
","So it was good at first....i mean the bass could have been better but still as compared to other Bluetooth earphones its one of the best....But particularly the product i recieved have stopped charging anymore.... So really disappointed. I hope someone can tell me what to do next. Sadly returning window is closed as well
",3,JBL T110BT,2199.0,JBL,T110BT
"Pros: Length of wires: too long Battery: ...
","Pros:Length of wires: too longBattery: 5-6 hrs of  call or musicDesign is :okBiggest con: You cant use it for calls. Person other side wont be hear you. Choose other earphone having proper mic position
",1,JBL T110BT,2199.0,JBL,T110BT
"Not the right platform
","One of the 2 sides Stopped working in 20 days , should have ordered from Flipkart
",1,JBL T110BT,2199.0,JBL,T110BT
"Average to good
","Overall average to good. The battery drains faster ! Need more good sound quality !
",3,JBL T110BT,2199.0,JBL,T110BT
"Don't buy......  Bad quality
","Sound quality is very bad.... Disappointment
",1,JBL T110BT,2199.0,JBL,T110BT
"Hot
","Good
",4,JBL T110BT,2199.0,JBL,T110BT
"NOT AT ALL A GOOD PRODUCT
","I HAVE RETURNED IT WITH AN HOUR EXPERIENCE WITH THIS DEVISE. NOT AT ALL A GOOD QUALITY PRODUCT IT IS WHILE I WAS USED PREVIOUSLY SONY W CI300 BTDON'T GO FOR IT GUYSTHANKSSEKHAR
",1,JBL T110BT,2199.0,JBL,T110BT
"Poor bass. Good charging back up
","Poor bass . Good charging back up .
",1,JBL T110BT,2199.0,JBL,T110BT
"very bad
","sound quality rost ...  my expectations is wrong . very bad voice quality ... and call voice  bad
",1,JBL T110BT,2199.0,JBL,T110BT
"Value for money. Thanks Harman
","Quality product from jbl
",5,JBL T110BT,2199.0,JBL,T110BT
